figure,panel,setting_or_source,model,method,metric,value
source_stratified_heatmap,heatmap,NLI4CT,,EDL,required_recall,0.7681025521998928
source_stratified_heatmap,heatmap,NLI4CT,,EDL,search_recall,0.8443343939466262
source_stratified_heatmap,heatmap,NLI4CT,,EDL,read_recall,0.8443343939466262
cross_model_scifact_replication,small-multiple,SciFact,gpt-5.5,ReAct,accuracy,0.9925925925925926
cross_model_scifact_replication,small-multiple,SciFact,gpt-5.5,ReAct,main,0.8592592592592593
cross_model_scifact_replication,small-multiple,SciFact,gpt-5.5,ReAct,required_recall,0.8740740740740741
cross_model_scifact_replication,small-multiple,SciFact,gpt-5.5,ReAct,search_recall,0
cross_model_scifact_replication,small-multiple,SciFact,gpt-5.5,ReAct,read_recall,0.9851851851851852
cross_model_scifact_replication,small-multiple,SciFact,gpt-5.5,ReAct,search_read_mean,0.4925925925925926
cross_model_scifact_replication,small-multiple,SciFact,gpt-5.5,EDL,accuracy,0.9481481481481482
cross_model_scifact_replication,small-multiple,SciFact,gpt-5.5,EDL,main,0.8740740740740741
cross_model_scifact_replication,small-multiple,SciFact,gpt-5.5,EDL,required_recall,0.9333333333333333
cross_model_scifact_replication,small-multiple,SciFact,gpt-5.5,EDL,search_recall,0.9666666666666667
cross_model_scifact_replication,small-multiple,SciFact,gpt-5.5,EDL,read_recall,0.9666666666666667
cross_model_scifact_replication,small-multiple,SciFact,gpt-5.5,EDL,search_read_mean,0.9666666666666667
cross_model_scifact_replication,small-multiple,SciFact,MiniMax-M3,ReAct,accuracy,0.9037037037037037
cross_model_scifact_replication,small-multiple,SciFact,MiniMax-M3,ReAct,main,0.8
cross_model_scifact_replication,small-multiple,SciFact,MiniMax-M3,ReAct,required_recall,0.9
cross_model_scifact_replication,small-multiple,SciFact,MiniMax-M3,ReAct,search_recall,0.937037037037037
cross_model_scifact_replication,small-multiple,SciFact,MiniMax-M3,ReAct,read_recall,0.9407407407407408
cross_model_scifact_replication,small-multiple,SciFact,MiniMax-M3,ReAct,search_read_mean,0.9388888888888889
cross_model_scifact_replication,small-multiple,SciFact,MiniMax-M3,EDL,accuracy,0.8888888888888888
cross_model_scifact_replication,small-multiple,SciFact,MiniMax-M3,EDL,main,0.8296296296296296
cross_model_scifact_replication,small-multiple,SciFact,MiniMax-M3,EDL,required_recall,0.9481481481481482
cross_model_scifact_replication,small-multiple,SciFact,MiniMax-M3,EDL,search_recall,0.9740740740740741
cross_model_scifact_replication,small-multiple,SciFact,MiniMax-M3,EDL,read_recall,0.9740740740740741
cross_model_scifact_replication,small-multiple,SciFact,MiniMax-M3,EDL,search_read_mean,0.9740740740740741
